Topic,Agency1,Agency2,Similarity,Rank,Agency_Group
1,NYT,CNN,0.7776579,1.0,left
1,NYT,Fox,0.7396389,2.0,left vs right
1,NYT,NewsMax,0.6803765,5.0,left vs right
1,CNN,Fox,0.673966,6.0,left vs right
1,CNN,NewsMax,0.7178556,4.0,left vs right
1,Fox,NewsMax,0.721333,3.0,right
2,NYT,Fox,0.7148947,4.0,left vs right
2,NYT,CNN,0.6573651,5.0,left
2,NYT,NewsMax,0.5590881,6.0,left vs right
2,Fox,CNN,0.8270442,2.0,left vs right
2,Fox,NewsMax,0.8807334,1.0,right
2,CNN,NewsMax,0.81603295,3.0,left vs right
3,NYT,NewsMax,0.76908255,3.0,left vs right
3,NYT,Fox,0.6252414,6.0,left vs right
3,NYT,CNN,0.7999552,2.0,left
3,NewsMax,Fox,0.71416277,4.0,right
3,NewsMax,CNN,0.8026168,1.0,left vs right
3,Fox,CNN,0.65024734,5.0,left vs right
4,NYT,NewsMax,0.6234057,2.0,left vs right
4,NYT,CNN,0.5600192,5.0,left
4,NYT,Fox,0.73774534,1.0,left vs right
4,NewsMax,CNN,0.58419186,4.0,left vs right
4,NewsMax,Fox,0.5395577,6.0,right
4,CNN,Fox,0.6125558,3.0,left vs right
5,NYT,CNN,0.8609108,1.0,left
5,NYT,Fox,0.4416915,6.0,left vs right
5,NYT,NewsMax,0.8588038,2.0,left vs right
5,CNN,Fox,0.47032052,4.0,left vs right
5,CNN,NewsMax,0.8163057,3.0,left vs right
5,Fox,NewsMax,0.44174114,5.0,right
6,NYT,CNN,0.7271402,3.0,left
6,NYT,NewsMax,0.7517993,2.0,left vs right
6,NYT,Fox,0.68320894,6.0,left vs right
6,CNN,NewsMax,0.7119909,4.0,left vs right
6,CNN,Fox,0.91147584,1.0,left vs right
6,NewsMax,Fox,0.69191736,5.0,right
7,NYT,Fox,0.7664532,6.0,left vs right
7,NYT,NewsMax,0.7871543,4.0,left vs right
7,NYT,CNN,0.82315785,1.0,left
7,Fox,NewsMax,0.7869368,5.0,right
7,Fox,CNN,0.8077458,3.0,left vs right
7,NewsMax,CNN,0.8123892,2.0,left vs right
8,NYT,CNN,0.61440074,4.0,left
8,NYT,Fox,0.55019355,6.0,left vs right
8,NYT,NewsMax,0.6154761,3.0,left vs right
8,CNN,Fox,0.5898027,5.0,left vs right
8,CNN,NewsMax,0.6377917,1.0,left vs right
8,Fox,NewsMax,0.63436395,2.0,right
9,CNN,NYT,0.66584575,5.0,left
9,CNN,NewsMax,0.72570807,2.0,left vs right
9,CNN,Fox,0.7651371,1.0,left vs right
9,NYT,NewsMax,0.66772616,4.0,left vs right
9,NYT,Fox,0.56298345,6.0,left vs right
9,NewsMax,Fox,0.7067737,3.0,right
